bovis	mt	gene	v/i	mb_call	mt_call
Mb0616c	Rv0600c		i	NE	NE
Mb0617c	Rv0601c		i	NE	NE
Mb0621	Rv0605		i	NE	NE
Mb0622	Rv0606		i	NE	N/A
Mb0623	Rv0607		i	NE	NE
Mb0624	Rv0608	vapB28	i	NE	NE
Mb0625	Rv0609	vapC28	i	NE	NE
Mb0626	Rv0609A		i	NE	NE
Mb0627c	Rv0610c		v	NE	NE
Mb0628c	Rv0611c		i	NE	NE
Mb0629	Rv0612		i	NE	NE
Mb0630c	Rv0613c		i	NE	NE
Mb0631	Rv0614		i	NE	NE
Mb0632	Rv0615		i	NE	NE
Mb0633A	Rv0616A	vapB29	i	NE	NE
Mb0633c	Rv0616c		i	NE	N/A
Mb0634	Rv0617	vapC29	i	NE	NE
Mb0635	Rv0618		v	NE	N/A
Mb0636	Rv0620	galK	v	NE	NE
Mb0637	Rv0621		v	NE	NE
Mb0638	Rv0622		i	NE	NE
Mb0639	Rv0623	vapB30	i	NE	NE
Mb0640	Rv0624	vapC30	i	NE	NE
Mb0641c	Rv0625c		i	NE	NE
Mb0642	Rv0626	vapB5	i	NE	NE
Mb0643	Rv0627	vapC5	i	NE	NE
Mb0644c	Rv0628c		i	NE	NE
Mb0645c	Rv0629c	recD	v	NE	NE
Mb0646c	Rv0630c	recB	v	NE	NE
Mb0647c	Rv0630c	recB	v	NE	NE
Mb0648c	Rv0631c	recC	v	NE	NE
Mb0649c	Rv0632c	echA3	i	NE	NE
Mb0650c	Rv0633c		v	NE	NE
Mb0651c	Rv0634c		i	NE	NE
Mb0652	Rv0634A		i	NE	NE
Mb0653	Rv0634B	rpmG2	i	ES	GD
Mb0654	Rv0635	hadA	i	ES	ES
Mb0655	Rv0636	hadB	v	NE	ES
Mb0656	Rv0637	hadC	i	NE	NE
Mb0657	Rv0638	secE1	i	ES	ES
Mb0658	Rv0639	nusG	i	ES	ES
Mb0659	Rv0640	rplK	i	GD	NE
Mb0660	Rv0641	rplA	v	GA	ES
Mb0661c	Rv0642c	mmaA4	v	GA	GA
Mb0662c	Rv0643c	mmaA3	i	GA	GA
Mb0663c	Rv0644c	mmaA2	v	GA	GA
Mb0664c	Rv0645c	mmaA1	i	GA	GA
Mb0665c	Rv0646c	lipG	i	ES	GA
Mb0666c	Rv0647c		v	NE	ES
Mb0667	Rv0648		v	NE	NE
Mb0668	Rv0649	fabD2	i	NE	NE
Mb0669	Rv0650		i	ES	NE
Mb0670	Rv0651	rplJ	i	NE	ES
Mb0671	Rv0652	rplL	i	NE	NE
Mb0672c	Rv0653c		i	NE	NE
Mb0673	Rv0654		i	NE	GA
Mb0674	Rv0655	mkl	i	NE	GA
Mb0675c	Rv0656c	vapC6	i	NE	GA
Mb0676c	Rv0657c	vapB6	i	NE	GA
Mb0677c	Rv0658c		v	NE	NE
Mb0678c	Rv0659c	mazF2	i	NE	NE
Mb0679c	Rv0660c	mazE2	i	NE	NE
Mb0680c	Rv0661c	vapC7	i	NE	NE
Mb0681c	Rv0662c	vapB7	i	NE	NE
Mb0682	Rv0663	atsD	v	NE	NE
Mb0683	Rv0664	vapB8	i	NE	NE
Mb0684	Rv0665	vapC8	i	N/A	NE
Mb0685	Rv0666		i	ES	N/A
Mb0686	Rv0667	rpoB	i	ES	ES
Mb0687	Rv0668	rpoC	i	NE	ES
Mb0688c	Rv0669c		v	NE	NE
Mb0689	Rv0670	end	i	NE	NE
Mb0690	Rv0671	lpqP	i	NE	NE
Mb0691	Rv0672	fadE8	i	NE	NE
Mb0692	Rv0673	echA4	i	NE	NE
Mb0693	Rv0674		i	NE	NE
Mb0694	Rv0675	echA5	i	NE	NE
Mb0695c	Rv0676c	mmpL5	v	NE	NE
Mb0696c	Rv0677c	mmpS5	i	NE	NE
Mb0697	Rv0678		i	NE	NE
Mb0698c	Rv0679c		i	NE	NE
Mb0699c	Rv0680c		i	NE	NE
Mb0700	Rv0681		i	ES	NE
Mb0701	Rv0682	rpsL	i	ES	ES
Mb0702	Rv0683	rpsG	i	ES	ES
Mb0703	Rv0684	fusA1	i	ES	ES
Mb0704	Rv0685	tuf	i	NE	ES
Mb0705	Rv0686		v	NE	NE
Mb0706	Rv0687		i	NE	NE
Mb0707	Rv0688		i	NE	NE
Mb0708c	Rv0689c		i	NE	NE
Mb0709c	Rv0690c		i	NE	NE
Mb0710A	Rv0691A		i	NE	NE
Mb0710c	Rv0691c		i	NE	NE
Mb0711	Rv0692		i	GD	NE
Mb0712	Rv0693		i	GD	NE
Mb0713	Rv0694		i	GD	NE
Mb0714	Rv0695		i	GD	NE
Mb0715	Rv0696		i	NE	NE
Mb0716	Rv0697		i	NE	GD
Mb0717	Rv0698		v	NE	NE
Mb0718	Rv0698		v	NE	NE
Mb0719	Rv0699		i	ES	NE
Mb0720	Rv0700	rpsJ	i	ES	NE
Mb0721	Rv0701	rplC	i	ES	ES
Mb0722	Rv0702	rplD	i	ES	ES
Mb0723	Rv0703	rplW	i	ES	ES
Mb0724	Rv0704	rplB	i	ES	ES
Mb0725	Rv0705	rpsS	i	ES	ES
Mb0726	Rv0706	rplV	i	ES	ES
Mb0727	Rv0707	rpsC	i	ES	ES
Mb0728	Rv0708	rplP	i	GD	ES
Mb0729	Rv0709	rpmC	i	GD	GD
Mb0730	Rv0710	rpsQ	i	NE	GD
Mb0731	Rv0711	atsA	v	NE	NE
Mb0732	Rv0711	atsA	v	NE	NE
Mb0733	Rv0712		i	NE	NE
Mb0734	Rv0713		i	ES	NE
Mb0735	Rv0714	rplN	i	ES	ES
Mb0736	Rv0715	rplX	i	ES	ES
Mb0737	Rv0716	rplE	i	ES	ES
Mb0738	Rv0717	rpsN1	i	ES	ES
Mb0739	Rv0718	rpsH	i	ES	ES
Mb0740	Rv0719	rplF	i	ES	ES
Mb0741	Rv0720	rplR	i	ES	ES
Mb0742	Rv0721	rpsE	i	ES	ES
Mb0743	Rv0722	rpmD	i	NE	NE
Mb0744	Rv0723	rplO	v	NE	NE
Mb0745	Rv0724	sppA	i	NE	NE
Mb0746c	Rv0725c		i	NE	NE
Mb0747c	Rv0726c		i	NE	NE
Mb0748c	Rv0727c	fucA	v	NE	NE
Mb0749c	Rv0728c	serA2	v	NE	NE
Mb0750	Rv0729	xylB	v	NE	NE
Mb0751	Rv0730		i	NE	NE
Mb0752c	Rv0731c		i	ES	NE
Mb0753	Rv0732	secY	i	ES	ES
Mb0754	Rv0733	adk	i	NE	NE
Mb0755	Rv0734	mapA	i	NE	NE
Mb0756	Rv0735	sigL	i	NE	NE
Mb0757	Rv0736	rslA	i	NE	NE
Mb0758	Rv0737		i	NE	NE
Mb0759	Rv0738		i	NE	NE
Mb0760	Rv0739		v	NE	NE
Mb0761	Rv0740		i	NE	NE
Mb0762	Rv0741		i	NE	N/A
Mb0763	Rv0742		i	NE	NE
Mb0764c	Rv0743c		i	NE	NE
Mb0765c	Rv0744c		i	NE	NE
Mb0766	Rv0745		i	NE	NE
Mb0767	Rv0746	PE_PGRS9	v	NE	NE
Mb0768	Rv0747	PE_PGRS10	v	NE	NE
Mb0769	Rv0748	vapB31	i	NE	NE
Mb0770	Rv0749	vapC31	i	NE	NE
Mb0771c	Rv0749A		i	NE	NE
Mb0772	Rv0750		i	NE	NE
Mb0773c	Rv0751c	mmsB	i	NE	NE
